device,rows,mae,rmse,mean_error,median_absolute_error,max_absolute_error
raspi4,9216,2.750854943247626,4.609035558065432,-0.06475299262031348,1.7687863699367448,38.475706502949045
pixel3,9409,1.3014970296561388,2.1737032831966085,0.008791704288472613,0.701185844477993,18.313736486513157
edgegpu,9372,0.6987239533598506,0.9224815768849612,0.11158332807935915,0.5494527870658414,4.5143813113137385
edgetpu,6582,0.1206996829581294,0.16774679798260345,0.056781264070827495,0.08603398308042687,0.997468248188595
fpga,9319,0.08252873556520073,0.11207939332352161,0.0659936740677158,0.06141511598141536,0.7021580304097341
eyeriss,9533,0.08108528606749626,0.10609320915689814,0.058358377045243374,0.06713519255205203,0.6864707463771595
