split,test_group,train_rows,test_rows,mae,rmse,mape_percent
random,,213722,53431,0.8746450557047186,2.158862160535716,187.25001566689065
architecture,,213750,53403,0.8902468231350266,2.245738962812472,178.97031216000343
device,edgegpu,220278,46875,2.1654063764573777,2.680769880413595,47.22087696547816
device,edgetpu,234375,32778,3.0559831781972417,3.568911179227915,296.66732872777015
device,eyeriss,220278,46875,1.5356853858202733,1.9901442982676925,32.89430906337444
device,fpga,220278,46875,1.4294484212094478,1.594665749752324,75.95318013304858
device,pixel3,220278,46875,5.617847429438942,7.711736087133976,340.22431356222944
device,raspi4,220278,46875,16.57722437148887,21.95737821443668,199.3021570903533
